INSTNM,CITY,INSTURL,st_fips,LATITUDE,LONGITUDE,MENONLY,WOMENONLY,RELAFFIL,ADM_RATE
Bergin University of Canine Studies,Santa Rosa,www.berginu.edu,6,38.4287,-122.7336,0,0,NULL,NULL
Aveda Institute-Boise,Boise,www.avedaboise.com,16,43.6364,-116.2743,0,0,NULL,NULL
Progressive Training Centers,Pompano Beach,www.progressivetc.com,12,26.2111,-80.1219,0,0,NULL,NULL
American Health Institute,Port Richey,americanhealth.edu,12,28.3046,-82.7026,0,0,NULL,NULL
Pima Medical Institute-South Denver,Aurora,pmi.edu,8,39.6552,-104.8697,0,0,NULL,NULL
Real Barbers College,Anaheim,www.therealbarbercollege.com,6,33.8339,-117.9207,0,0,NULL,NULL
Capilo School of Hair Design,Augusta,www.capilo.com,23,44.3176,-69.7771,0,0,NULL,NULL
Pure Aesthetics,Tucson,www.pureaesthetics.edu,4,32.2289,-110.8837,0,0,NULL,NULL
Lindsey Institute of Cosmetology,Bowling Green,www.lindseyinstitute.com,21,36.9467,-86.4206,0,0,NULL,NULL
The Salon Professional Academy-Iowa City,Iowa City,tspaiowacity.com/,19,41.643,-91.5033,0,0,NULL,NULL
Buckner Barber School,Dallas,bucknerbarberschool.com/,48,32.7386,-96.683,0,0,NULL,NULL
Simmons College of Kentucky,Louisville,www.simmonscollegeky.edu,21,38.2391,-85.7646,0,0,52,NULL
Atelier Esthetique Institute of Esthetics,New York,www.aeinstitute.net/,36,40.7429,-73.9845,0,0,NULL,NULL
Ashdown College of Health Sciences,Redlands,ashdowncollege.edu,6,34.0593,-117.2232,0,0,NULL,NULL
Advanced College of Cosmetology,Waupun,www.accsuccess.com,55,43.6331,-88.7361,0,0,NULL,NULL
North American University,Houston,www.na.edu,48,29.937,-95.472,0,0,NULL,NULL
Entourage Institute of Beauty and Esthetics,Lenexa,www.entouragebeauty.com,20,38.9567,-94.7248,0,0,NULL,NULL
United Beauty College,Denver,ubc-denver.com/,8,39.6968,-105.0109,0,0,NULL,NULL
Cinta Aveda Institute,San Francisco,www.cintaaveda.com,6,37.7909,-122.4041,0,0,NULL,NULL
Long Island Nail & Skin Care Institute,Levittown,www.linailskincare.com,36,40.7257,-73.4989,0,0,NULL,NULL
Mesivta Keser Torah,Belmar,NULL,34,40.1776,-74.0226,0,0,NULL,1
Southern California Health Institute,North Hollywood,www.sochi.edu,6,34.1655,-118.375,0,0,NULL,NULL
Best Care Training Institute,East Orange,bestcarehealth.com,34,40.7655,-74.2214,0,0,NULL,NULL
First Class Cosmetology School,Beloit,firstclasscosmetologyschool.com,55,42.499,-89.0359,0,0,NULL,NULL
Millennia Atlantic University,Doral,www.maufl.edu,12,25.8118,-80.3652,0,0,NULL,NULL
Abcott Institute,Southfield,www.abcott.edu,26,42.4454,-83.2103,0,0,NULL,NULL
